given_name,family_name,gender,birth_date,country_of_origin,destination_country,destination_city,port_of_entry,visa_category,arrival_date,reason_for_migration,status_at_5_years,naturalization_date,asylum_related
Wei,Gonzalez,Male,1996-10-09,Ukraine,Australia,Sydney,Adelaide Airport,Student,2016-02-23,Economic Opportunity,Permanent Resident,,FALSE
Anna,Silva,Female,1983-10-28,France,Italy,Rome,Bologna Guglielmo Marconi,Work,2020-06-21,Work,Citizen,2028-11-16,FALSE
Anita,Khan,Female,1952-07-18,Algeria,Italy,Genoa,Fiumicino,Family,2025-01-16,Persecution,Temporary Resident,,TRUE
Hiro,Smith,Male,2006-12-11,Peru,Australia,Sydney,Adelaide Airport,Work,2025-08-12,Work,Permanent Resident,,FALSE
Ibrahim,Ibrahim,Male,1972-04-14,Pakistan,Netherlands,Breda,Eindhoven Airport,Family,2011-06-01,Family Reunification,Temporary Resident,,FALSE
Priya,Bauer,Female,1991-08-01,Mexico,Spain,Bilbao,Barcelona–El Prat,Family,2021-09-28,Work,Citizen,2028-11-11,FALSE
Amina,Wang,Male,1987-05-02,Afghanistan,Sweden,Orebro,Arlanda,Student,2005-08-22,Family Reunification,Departed,,FALSE
Camila,Silva,Male,1972-04-27,Turkey,Netherlands,Breda,Eindhoven Airport,Family,2012-01-14,Conflict/War,Permanent Resident,,TRUE
David,Lopez,Male,2004-09-26,Thailand,Spain,Bilbao,Malaga–Costa del Sol,Work,2023-04-12,Work,Temporary Resident,,FALSE
Elena,Brown,Female,2004-11-23,South Korea,France,Bordeaux,CDG,Work,2023-05-15,Study,Temporary Resident,,FALSE
Hiro,Williams,Male,1967-01-05,Italy,United Kingdom,Bristol,Edinburgh Airport,Family,2007-04-13,Conflict/War,Temporary Resident,,TRUE
Olivia,Lopez,Female,1952-12-23,Philippines,Italy,Bari,Fiumicino,Family,2018-01-12,Climate/Disaster,Permanent Resident,,FALSE
Yuki,Rodriguez,Male,1986-08-04,Algeria,United Kingdom,Manchester,Gatwick,Family,2015-11-06,Work,Permanent Resident,,FALSE
Fatima,Rossi,Female,1965-10-09,Turkey,Italy,Naples,Malpensa,Family,2005-05-28,Study,Temporary Resident,,FALSE
Wei,Bauer,Male,1996-12-31,Thailand,Netherlands,Tilburg,Eindhoven Airport,Work,2020-02-14,Study,Departed,,FALSE
Raj,Rodriguez,Female,1996-01-20,Vietnam,Germany,Leipzig,MUC,Work,2014-01-23,Climate/Disaster,Permanent Resident,,FALSE
Raj,Nguyen,Male,1995-07-14,Philippines,Germany,Hamburg,BER,Student,2024-08-20,Work,Temporary Resident,,FALSE
Emma,Smith,Female,1956-10-31,Japan,Australia,Gold Coast,Perth Airport,Work,2002-03-16,Family Reunification,Citizen,2011-06-07,FALSE
Elena,Lopez,Male,2003-05-02,South Korea,Sweden,Norrkoping,Malmo Airport,Work,2024-10-10,Study,Permanent Resident,,FALSE
Noah,Bauer,Female,1999-10-27,Cuba,Australia,Sydney,Adelaide Airport,Skilled Worker,2025-03-29,Study,Departed,,FALSE
Noah,Silva,Male,1964-01-01,Romania,United Kingdom,Glasgow,Heathrow,Skilled Worker,2012-12-17,Conflict/War,Permanent Resident,,TRUE
Chen,Rodriguez,Non-binary,1959-06-30,Malaysia,Canada,Toronto,Vancouver Intl,Work,2002-11-16,Economic Opportunity,Permanent Resident,,FALSE
Ava,Garcia,Female,1953-05-04,Dominican Republic,United States,Atlanta,JFK Airport,Student,2013-02-06,Study,Permanent Resident,,FALSE
Ethan,Gonzalez,Male,1985-01-12,Malaysia,Spain,Valencia,Malaga–Costa del Sol,Work,2021-04-27,Economic Opportunity,Permanent Resident,,FALSE
Liam,Nguyen,Male,1984-08-12,Cuba,United States,Houston,SFO,Family,2024-10-18,Study,Temporary Resident,,FALSE
David,Williams,Female,1977-03-24,Dominican Republic,France,Nice,CDG,Family,2014-01-31,Conflict/War,Departed,,TRUE
David,Smith,Female,1977-02-26,Kenya,United States,San Francisco,DFW,Family,2003-12-07,Family Reunification,Citizen,2013-08-05,FALSE
Hiro,Perez,Male,1967-11-13,Algeria,Spain,Barcelona,Malaga–Costa del Sol,Skilled Worker,2015-04-13,Work,Citizen,2026-02-22,FALSE
Liam,Ibrahim,Male,1956-10-15,Taiwan,Italy,Turin,Fiumicino,Work,2000-12-13,Family Reunification,Permanent Resident,,FALSE
Chen,Lopez,Female,1972-03-28,Dominican Republic,France,Nantes,CDG,Family,2023-03-09,Economic Opportunity,Citizen,2027-06-28,FALSE
Zoe,Chen,Male,1981-08-16,Greece,Australia,Perth,Brisbane Airport,Diversity,2002-12-01,Family Reunification,Citizen,2007-09-19,FALSE
Yuki,Williams,Female,1961-10-03,Venezuela,United Kingdom,Cardiff,Heathrow,Work,2019-08-24,Economic Opportunity,Permanent Resident,,FALSE
Isabella,Chen,Female,1997-05-11,Italy,Italy,Turin,Naples Intl,Work,2021-07-16,Work,Permanent Resident,,FALSE
Yuki,Park,Male,1980-04-22,Iran,Australia,Hobart,Brisbane Airport,Asylum,2018-07-13,Persecution,Undocumented,,TRUE
Omar,Novak,Female,1996-12-07,Honduras,Germany,Munich,HAM,Family,2015-04-28,Work,Temporary Resident,,FALSE
Chen,Ali,Male,2006-07-31,Sri Lanka,Netherlands,Rotterdam,Rotterdam The Hague,Family,2024-08-21,Study,Citizen,2033-06-08,FALSE
Anita,Khan,Female,1985-06-12,Pakistan,Netherlands,Nijmegen,Rotterdam The Hague,Student,2003-12-18,Family Reunification,Temporary Resident,,FALSE
Emma,Li,Male,1980-02-27,Italy,United Kingdom,Bristol,Gatwick,Work,2022-02-21,Study,Permanent Resident,,FALSE
Zoe,Khan,Male,1980-01-15,Turkey,Germany,Bremen,FRA,Family,2020-12-16,Study,Temporary Resident,,FALSE
Ava,Gonzalez,Male,2001-07-17,Portugal,United Kingdom,Edinburgh,Gatwick,Student,2025-08-02,Persecution,Citizen,2033-05-15,TRUE
Hassan,Costa,Female,1959-10-03,Malaysia,United States,San Francisco,SEA,Student,2006-11-08,Study,Temporary Resident,,FALSE
Ethan,Wang,Male,1959-08-10,Nigeria,France,Nice,Orly,Family,2024-08-09,Study,Departed,,FALSE
Elena,Ibrahim,Male,1979-03-13,Colombia,Italy,Turin,Turin Airport,Student,2017-06-19,Work,Citizen,2028-04-01,FALSE
Sara,Li,Female,1950-08-30,Thailand,Australia,Newcastle,Adelaide Airport,Student,2000-03-13,Work,Permanent Resident,,FALSE
Lucas,Rodriguez,Male,1975-06-06,Japan,Spain,Palma,Madrid–Barajas,Student,2025-09-13,Work,Citizen,2034-04-06,FALSE
Leila,Gonzalez,Female,1993-06-22,Guatemala,Netherlands,Groningen,Schiphol,Work,2011-10-13,Persecution,Permanent Resident,,TRUE
Sara,Ibrahim,Female,2003-04-22,Poland,France,Nice,Marseille Provence,Family,2022-10-23,Conflict/War,Temporary Resident,,TRUE
Zoe,Nguyen,Non-binary,1958-09-29,Portugal,Canada,Hamilton,Ottawa Intl,Family,2005-12-25,Work,Permanent Resident,,FALSE
Igor,Hassan,Female,1976-06-16,Sri Lanka,Sweden,Uppsala,Gothenburg Landvetter,Student,2004-09-01,Family Reunification,Citizen,2012-12-29,FALSE
Zoe,Perez,Male,1997-08-03,Colombia,France,Bordeaux,Orly,Family,2023-07-28,Family Reunification,Permanent Resident,,FALSE
Priya,Williams,Female,1961-10-02,Ukraine,United States,Los Angeles,BOS,Work,2012-07-07,Study,Permanent Resident,,FALSE
Leila,Costa,Male,1977-08-30,Taiwan,Spain,Palma,Malaga–Costa del Sol,Work,2005-03-06,Work,Citizen,2016-09-20,FALSE
Olivia,Kumar,Male,1955-11-18,Greece,Netherlands,Amsterdam,Eindhoven Airport,Student,2005-05-21,Work,Temporary Resident,,FALSE
Sofia,Bauer,Male,1966-02-10,China,France,Nantes,Orly,Diversity,2007-01-31,Work,Temporary Resident,,FALSE
Ethan,Costa,Male,1968-08-24,Cuba,Canada,Vancouver,Ottawa Intl,Skilled Worker,2017-11-06,Family Reunification,Permanent Resident,,FALSE
Carlos,Costa,Male,1959-05-22,Iran,Germany,Cologne,DUS,Work,2011-08-09,Persecution,Permanent Resident,,TRUE
Ahmed,Moretti,Female,1980-07-12,Honduras,Italy,Naples,Malpensa,Skilled Worker,2016-11-19,Climate/Disaster,Temporary Resident,,FALSE
Sofia,Kim,Female,1950-09-20,Sri Lanka,United States,Los Angeles,LAX,Work,2017-02-02,Persecution,Permanent Resident,,TRUE
Mohamed,Perez,Male,1981-08-16,Malaysia,Netherlands,Eindhoven,Schiphol,Student,2009-06-05,Economic Opportunity,Permanent Resident,,FALSE
Isabella,Park,Male,2004-11-20,Dominican Republic,United Kingdom,Leeds,Stansted,Family,2025-05-06,Climate/Disaster,Departed,,FALSE
Isabella,Zhang,Male,1973-06-20,Ireland,Italy,Catania,Turin Airport,Diversity,2005-04-10,Study,Temporary Resident,,FALSE
Ava,Zhang,Female,1963-10-17,Honduras,Spain,Zaragoza,Malaga–Costa del Sol,Family,2009-08-19,Work,Permanent Resident,,FALSE
Camila,Martinez,Male,1967-05-12,Cuba,United Kingdom,Sheffield,Gatwick,Skilled Worker,2021-09-01,Family Reunification,Permanent Resident,,FALSE
Carlos,Chen,Female,2001-11-16,Ireland,Netherlands,Tilburg,Rotterdam The Hague,Skilled Worker,2022-06-09,Family Reunification,Permanent Resident,,FALSE
Chen,Silva,Female,2007-05-03,Thailand,Netherlands,Nijmegen,Eindhoven Airport,Work,2025-05-16,Work,Temporary Resident,,FALSE
Mia,Kim,Non-binary,2006-05-07,Kenya,France,Paris,Marseille Provence,Family,2025-03-29,Work,Permanent Resident,,FALSE
Ethan,Abdul,Male,1976-10-11,Romania,Netherlands,Rotterdam,Rotterdam The Hague,Family,2024-07-03,Work,Temporary Resident,,FALSE
Leila,Hassan,Male,1981-11-16,Mexico,Canada,Edmonton,Montreal-Trudeau,Student,2008-03-20,Work,Temporary Resident,,FALSE
Diego,Chen,Male,1978-02-18,Argentina,Germany,Dresden,HAM,Asylum,2019-07-18,Family Reunification,Permanent Resident,,TRUE
Ibrahim,Yamada,Male,1991-09-01,Indonesia,Germany,Dresden,MUC,Diversity,2025-06-13,Work,Permanent Resident,,FALSE
Olivia,Schmidt,Male,1977-01-10,Peru,Canada,Montreal,Calgary Intl,Family,2021-10-08,Study,Citizen,2030-12-10,FALSE
Mohamed,Ivanov,Female,1955-08-28,Malaysia,United States,Dallas,LAX,Skilled Worker,2017-10-19,Climate/Disaster,Permanent Resident,,FALSE
Elena,Ivanov,Male,1964-02-03,Mexico,Canada,Montreal,Montreal-Trudeau,Family,2015-10-29,Work,Temporary Resident,,FALSE
Ahmed,Wang,Male,1973-11-29,Greece,United States,Atlanta,JFK Airport,Family,2008-08-29,Work,Permanent Resident,,FALSE
Ahmed,Park,Male,1989-10-15,Nigeria,Germany,Frankfurt,BER,Work,2019-10-27,Work,Departed,,FALSE
Jin,Ivanov,Male,1998-06-02,Malaysia,France,Nice,Nice Côte d'Azur,Work,2017-01-04,Conflict/War,Permanent Resident,,TRUE
Isabella,Bauer,Female,2004-07-04,Romania,United Kingdom,Birmingham,Heathrow,Work,2023-06-09,Persecution,Citizen,2033-06-11,TRUE
Yuki,Gonzalez,Male,1993-11-24,Pakistan,Australia,Adelaide,Melbourne Airport,Student,2017-01-19,Study,Temporary Resident,,FALSE
Chen,Nguyen,Male,1950-05-25,Sri Lanka,France,Paris,CDG,Family,2001-01-25,Study,Temporary Resident,,FALSE
Wei,Nguyen,Female,1995-08-12,Kenya,Germany,Cologne,BER,Work,2015-08-08,Family Reunification,Temporary Resident,,FALSE
Hiro,Singh,Male,1975-03-13,Egypt,France,Montpellier,Orly,Student,2000-12-14,Work,Permanent Resident,,FALSE
Carlos,Garcia,Female,1976-08-18,Afghanistan,Sweden,Linkoping,Malmo Airport,Work,2016-08-05,Family Reunification,Permanent Resident,,FALSE
Zoe,Wang,Male,1983-12-01,Sri Lanka,France,Nice,Lyon–Saint-Exupéry,Diversity,2004-02-23,Work,Permanent Resident,,FALSE
Zoe,Hassan,Male,2001-03-28,Japan,France,Montpellier,Lyon–Saint-Exupéry,Family,2022-11-22,Family Reunification,Citizen,2033-09-14,FALSE
Carlos,Khan,Female,1973-11-12,Mexico,Netherlands,Tilburg,Eindhoven Airport,Asylum,2024-02-20,Family Reunification,Citizen,2035-10-04,TRUE
Liam,Costa,Female,2004-04-18,Peru,Germany,Dresden,FRA,Diversity,2024-12-10,Economic Opportunity,Temporary Resident,,FALSE
Ethan,Ibrahim,Female,1960-11-18,Cuba,Australia,Newcastle,Adelaide Airport,Work,2020-01-26,Family Reunification,Permanent Resident,,FALSE
Raj,Wang,Male,1951-06-27,Taiwan,Italy,Turin,Fiumicino,Family,2024-10-27,Family Reunification,Citizen,2028-10-07,FALSE
Raj,Nowak,Female,2001-04-14,Guatemala,Italy,Milan,Turin Airport,Diversity,2020-05-23,Family Reunification,Citizen,2029-05-13,FALSE
Anna,Moretti,Male,2007-01-06,Nigeria,Spain,Murcia,Malaga–Costa del Sol,Student,2025-08-03,Study,Citizen,2034-01-20,FALSE
Ava,Jones,Female,2000-11-14,Philippines,Australia,Perth,Perth Airport,Family,2024-11-10,Family Reunification,Temporary Resident,,FALSE
Hassan,Singh,Female,1973-09-16,Taiwan,Spain,Seville,Palma de Mallorca,Humanitarian,2003-05-14,Conflict/War,Temporary Resident,,TRUE
Nina,Abdul,Female,1971-06-21,Algeria,Italy,Naples,Turin Airport,Family,2012-11-18,Persecution,Permanent Resident,,TRUE
Anna,Miller,Female,1955-07-13,Vietnam,Canada,Vancouver,Vancouver Intl,Family,2020-05-07,Economic Opportunity,Temporary Resident,,FALSE
Lucas,Abdul,Male,2006-08-12,Algeria,Germany,Hamburg,FRA,Student,2025-01-26,Economic Opportunity,Temporary Resident,,FALSE
Diego,Ali,Female,1977-02-20,Malaysia,France,Montpellier,Nice Côte d'Azur,Skilled Worker,2009-11-24,Family Reunification,Undocumented,,FALSE
Zoe,Bauer,Male,2003-05-21,Argentina,Sweden,Vasteras,Malmo Airport,Family,2023-12-29,Economic Opportunity,Permanent Resident,,FALSE
Leila,Hernandez,Male,1985-03-11,Guatemala,Spain,Malaga,Barcelona–El Prat,Family,2021-03-26,Family Reunification,Citizen,2031-01-08,FALSE
Hassan,Nowak,Non-binary,2001-10-17,Peru,Germany,Berlin,BER,Student,2024-11-25,Study,Temporary Resident,,FALSE
Isabella,Popov,Male,2000-07-28,Argentina,Canada,Edmonton,Pearson Intl,Refugee,2021-01-22,Family Reunification,Permanent Resident,,TRUE
Noah,Yamada,Female,1963-11-19,Ethiopia,United Kingdom,Glasgow,Heathrow,Student,2013-06-08,Conflict/War,Temporary Resident,,TRUE
Ahmed,Kumar,Male,1959-11-25,Spain,Australia,Darwin,Sydney Airport,Work,2013-08-09,Persecution,Citizen,2017-12-30,TRUE
Anita,Nowak,Male,1987-01-15,Russia,Netherlands,The Hague,Eindhoven Airport,Work,2016-06-17,Persecution,Permanent Resident,,TRUE
Sofia,Rodriguez,Male,1952-09-08,Poland,Canada,Quebec City,Calgary Intl,Family,2010-04-08,Work,Temporary Resident,,FALSE
Mia,Moretti,Female,1995-10-05,Ethiopia,Italy,Genoa,Turin Airport,Work,2016-05-04,Family Reunification,Permanent Resident,,FALSE
Nina,Perez,Male,1974-01-20,Guatemala,Italy,Rome,Fiumicino,Refugee,2002-05-10,Family Reunification,Departed,,TRUE
David,Ibrahim,Female,1987-11-17,Guatemala,Spain,Bilbao,Barcelona–El Prat,Work,2014-05-12,Family Reunification,Permanent Resident,,FALSE
Hiro,Novak,Female,1954-06-10,Ireland,Australia,Sydney,Adelaide Airport,Work,2011-05-14,Conflict/War,Permanent Resident,,TRUE
Yuki,Smith,Female,1994-02-12,Nepal,Germany,Berlin,FRA,Student,2024-10-03,Work,Citizen,2031-04-07,FALSE
Liam,Johnson,Male,1969-09-12,Germany,Spain,Bilbao,Palma de Mallorca,Student,2015-07-29,Family Reunification,Temporary Resident,,FALSE
Fatima,Moretti,Female,1981-01-15,Japan,United Kingdom,Bristol,Heathrow,Family,2011-06-14,Study,Citizen,2015-04-29,FALSE
Ahmed,Yamada,Male,1975-06-27,South Korea,Canada,Mississauga,Montreal-Trudeau,Refugee,2015-04-16,Economic Opportunity,Permanent Resident,,TRUE
David,Chen,Female,1977-12-29,Greece,Australia,Darwin,Sydney Airport,Skilled Worker,2007-10-30,Economic Opportunity,Permanent Resident,,FALSE
Elena,Rodriguez,Female,1977-11-29,Taiwan,Sweden,Jonkoping,Malmo Airport,Skilled Worker,2001-03-16,Economic Opportunity,Permanent Resident,,FALSE
Noah,Nguyen,Female,2007-01-03,Syria,Australia,Sydney,Adelaide Airport,Work,2025-05-27,Study,Permanent Resident,,FALSE
Mohamed,Bauer,Female,1953-09-27,Ethiopia,United States,Atlanta,LAX,Family,2002-12-02,Family Reunification,Temporary Resident,,FALSE
Alex,Hernandez,Male,1980-04-09,Peru,Australia,Newcastle,Melbourne Airport,Student,2006-09-22,Family Reunification,Citizen,2015-06-18,FALSE
Fatima,Nguyen,Male,1980-03-07,Nepal,France,Nantes,CDG,Diversity,2001-09-24,Family Reunification,Citizen,2009-11-15,FALSE
Ibrahim,Brown,Male,1971-07-16,France,Germany,Leipzig,HAM,Work,2009-07-28,Work,Permanent Resident,,FALSE
Yuki,Chen,Male,1959-11-10,Romania,Canada,Edmonton,Pearson Intl,Work,2021-06-24,Economic Opportunity,Permanent Resident,,FALSE
Alex,Lopez,Female,1984-12-01,Bulgaria,Italy,Turin,Malpensa,Family,2022-12-02,Study,Citizen,2028-12-26,FALSE
Fatima,Park,Male,1950-07-31,Romania,Spain,Palma,Madrid–Barajas,Skilled Worker,2020-12-20,Study,Temporary Resident,,FALSE
Hassan,Hernandez,Male,2000-10-25,Thailand,Spain,Valencia,Madrid–Barajas,Family,2023-12-15,Study,Permanent Resident,,FALSE
Amina,Smith,Male,2002-06-02,Bangladesh,Australia,Brisbane,Brisbane Airport,Skilled Worker,2025-07-13,Family Reunification,Permanent Resident,,FALSE
Alex,Novak,Male,1976-08-16,France,Spain,Madrid,Valencia Airport,Asylum,2019-09-12,Family Reunification,Undocumented,,TRUE
Liam,Williams,Male,2006-08-30,Afghanistan,France,Nantes,Marseille Provence,Work,2025-02-01,Family Reunification,Undocumented,,FALSE
Isabella,Park,Female,1964-01-19,Colombia,Canada,Mississauga,Ottawa Intl,Work,2020-12-23,Study,Permanent Resident,,FALSE
Hiro,Ibrahim,Male,1992-06-30,Spain,United States,Boston,IAD,Work,2019-10-20,Climate/Disaster,Citizen,2029-03-16,FALSE
Elena,Ibrahim,Female,2005-09-18,Vietnam,Italy,Florence,Naples Intl,Investor,2025-08-13,Conflict/War,Permanent Resident,,TRUE
Carlos,Johnson,Male,1984-11-14,Peru,Canada,Edmonton,Ottawa Intl,Family,2011-03-18,Study,Citizen,2014-10-09,FALSE
Elena,Hernandez,Female,2007-11-26,Bangladesh,Sweden,Gothenburg,Arlanda,Family,2025-11-21,Work,Citizen,2034-07-25,FALSE
Jin,Gonzalez,Male,1994-11-02,Ukraine,United States,Chicago,LAX,Skilled Worker,2020-07-25,Work,Undocumented,,FALSE
Raj,Johnson,Female,1979-08-10,Sri Lanka,Sweden,Malmo,Arlanda,Student,2017-01-25,Work,Permanent Resident,,FALSE
Ethan,Ivanov,Male,1963-01-21,Bulgaria,Italy,Bologna,Naples Intl,Work,2011-06-23,Work,Citizen,2020-11-23,FALSE
Ethan,Davis,Male,1978-05-30,Germany,Australia,Brisbane,Sydney Airport,Humanitarian,2004-01-20,Economic Opportunity,Temporary Resident,,FALSE
Hiro,Li,Male,2006-02-20,India,Netherlands,Amsterdam,Eindhoven Airport,Student,2024-04-05,Study,Permanent Resident,,FALSE
Raj,Brown,Male,1978-03-22,Ukraine,Italy,Naples,Malpensa,Student,2005-01-17,Study,Undocumented,,FALSE
Alex,Smith,Male,2006-12-16,Brazil,Australia,Melbourne,Brisbane Airport,Work,2025-01-18,Economic Opportunity,Citizen,2028-07-02,FALSE
Carlos,Garcia,Male,1957-05-23,Vietnam,Italy,Palermo,Turin Airport,Humanitarian,2025-03-23,Economic Opportunity,Permanent Resident,,FALSE
Zoe,Nowak,Female,1983-09-01,Iraq,United Kingdom,London,Gatwick,Family,2012-12-24,Work,Citizen,2022-12-07,FALSE
Carlos,Hernandez,Male,1994-07-27,Brazil,United States,Seattle,IAD,Family,2023-05-31,Study,Permanent Resident,,FALSE
Hiro,Costa,Female,1974-02-06,Turkey,Canada,Quebec City,Pearson Intl,Diversity,2003-06-23,Persecution,Temporary Resident,,TRUE
Elena,Nowak,Female,1995-12-23,Brazil,Australia,Newcastle,Adelaide Airport,Student,2017-11-08,Persecution,Permanent Resident,,TRUE
Ahmed,Lopez,Female,1951-02-02,Taiwan,United Kingdom,Leeds,Edinburgh Airport,Family,2024-12-14,Study,Citizen,2029-05-09,FALSE
Aria,Johnson,Female,1977-04-23,Bangladesh,Italy,Naples,Turin Airport,Family,2008-02-23,Study,Permanent Resident,,FALSE
Maria,Zhang,Female,1962-01-20,Syria,Canada,Toronto,Pearson Intl,Work,2015-09-26,Family Reunification,Permanent Resident,,FALSE
Ethan,Rodriguez,Male,1970-07-17,Mexico,United Kingdom,Cardiff,Stansted,Humanitarian,2010-11-21,Family Reunification,Permanent Resident,,FALSE
Elena,Garcia,Female,1969-05-31,Morocco,Netherlands,Rotterdam,Rotterdam The Hague,Skilled Worker,2021-06-02,Persecution,Permanent Resident,,TRUE
Mohamed,Abdul,Male,1983-11-02,Dominican Republic,Australia,Adelaide,Adelaide Airport,Family,2016-06-22,Family Reunification,Temporary Resident,,FALSE
Ethan,Gonzalez,Female,1955-02-27,Sri Lanka,Spain,Valencia,Madrid–Barajas,Work,2008-05-06,Work,Permanent Resident,,FALSE
Leila,Kumar,Male,1962-05-05,Honduras,Australia,Hobart,Perth Airport,Work,2003-08-14,Family Reunification,Citizen,2014-03-10,FALSE
Mia,Novak,Female,1950-11-28,Kenya,Australia,Perth,Sydney Airport,Investor,2019-02-03,Work,Departed,,FALSE
Amina,Martinez,Prefer not to say,1971-07-17,Turkey,United Kingdom,Edinburgh,Edinburgh Airport,Student,2001-02-21,Work,Citizen,2009-03-08,FALSE
Amina,Chen,Male,1972-01-02,Taiwan,Spain,Madrid,Malaga–Costa del Sol,Refugee,2020-11-05,Work,Permanent Resident,,TRUE
Raj,Nguyen,Male,1953-09-10,Iraq,Spain,Barcelona,Barcelona–El Prat,Work,2003-04-27,Work,Permanent Resident,,FALSE
Mohamed,Silva,Female,1952-01-12,Portugal,Canada,Quebec City,Montreal-Trudeau,Work,2019-01-15,Economic Opportunity,Temporary Resident,,FALSE
Ava,Kumar,Male,1962-01-19,Morocco,Netherlands,Eindhoven,Rotterdam The Hague,Family,2021-09-20,Study,Permanent Resident,,FALSE
Anita,Chen,Female,2000-05-24,Egypt,United States,Seattle,BOS,Work,2020-07-11,Family Reunification,Undocumented,,FALSE
Noah,Lopez,Female,1973-02-24,Mexico,France,Marseille,CDG,Student,2016-05-25,Work,Permanent Resident,,FALSE
Raj,Singh,Male,1994-06-28,Sri Lanka,Spain,Bilbao,Madrid–Barajas,Family,2021-09-28,Economic Opportunity,Undocumented,,FALSE
Nina,Kumar,Male,1986-06-29,Bulgaria,France,Strasbourg,Nice Côte d'Azur,Work,2008-11-16,Work,Permanent Resident,,FALSE
Omar,Chen,Female,1995-03-04,Turkey,Germany,Frankfurt,HAM,Student,2015-11-28,Climate/Disaster,Permanent Resident,,FALSE
Hiro,Lopez,Male,1996-02-11,China,France,Bordeaux,Orly,Skilled Worker,2015-05-25,Family Reunification,Permanent Resident,,FALSE
Liam,Ibrahim,Male,2003-09-21,Kenya,France,Lille,Nice Côte d'Azur,Work,2023-02-03,Work,Permanent Resident,,FALSE
Hiro,Hernandez,Female,1962-09-16,Thailand,Australia,Canberra,Perth Airport,Family,2014-11-15,Economic Opportunity,Permanent Resident,,FALSE
David,Schmidt,Female,1968-10-19,Guatemala,Canada,Montreal,Vancouver Intl,Diversity,2019-06-21,Work,Temporary Resident,,FALSE
Lucas,Ibrahim,Male,2000-11-18,Ireland,Sweden,Orebro,Arlanda,Work,2025-02-12,Persecution,Citizen,2032-09-27,TRUE
Aria,Ivanov,Male,2006-12-02,Syria,Spain,Seville,Madrid–Barajas,Family,2025-09-05,Climate/Disaster,Permanent Resident,,FALSE
Sofia,Abdul,Male,1968-04-29,Afghanistan,United States,Seattle,JFK Airport,Work,2007-02-19,Work,Temporary Resident,,FALSE
Nina,Nguyen,Female,1994-10-24,Mexico,Australia,Gold Coast,Sydney Airport,Skilled Worker,2021-03-26,Family Reunification,Citizen,2024-10-03,FALSE
Omar,Smith,Female,1954-05-29,Vietnam,Sweden,Gothenburg,Malmo Airport,Diversity,2020-01-19,Persecution,Permanent Resident,,TRUE
Diego,Brown,Male,1985-05-03,Honduras,France,Lille,Marseille Provence,Family,2012-11-13,Study,Permanent Resident,,FALSE
Emma,Li,Female,2005-12-23,Bangladesh,United Kingdom,Liverpool,Stansted,Family,2024-05-26,Economic Opportunity,Permanent Resident,,FALSE
Ahmed,Ali,Male,1985-06-01,Venezuela,Netherlands,Groningen,Eindhoven Airport,Diversity,2012-10-20,Work,Permanent Resident,,FALSE
Raj,Park,Female,2006-02-03,Morocco,France,Montpellier,Orly,Family,2025-06-13,Study,Citizen,2036-08-26,FALSE
Mia,Davis,Female,1986-02-01,Bulgaria,Canada,Hamilton,Pearson Intl,Student,2004-09-21,Conflict/War,Citizen,2014-01-01,TRUE
Mohamed,Moretti,Female,1967-06-13,Malaysia,Spain,Palma,Madrid–Barajas,Skilled Worker,2005-08-10,Work,Permanent Resident,,FALSE
Ibrahim,Moretti,Male,2007-11-23,South Africa,Spain,Valladolid,Madrid–Barajas,Family,2025-11-18,Work,Permanent Resident,,FALSE
Yuki,Wang,Male,1956-10-12,Turkey,France,Lille,CDG,Work,2003-11-07,Economic Opportunity,Permanent Resident,,FALSE
Sofia,Rossi,Female,1959-08-17,Morocco,Germany,Berlin,MUC,Skilled Worker,2024-06-01,Family Reunification,Departed,,FALSE
Maria,Williams,Male,1960-04-11,Bulgaria,Sweden,Malmo,Arlanda,Refugee,2010-05-29,Study,Temporary Resident,,TRUE
Diego,Sanchez,Female,1996-09-10,Greece,Germany,Dusseldorf,HAM,Family,2024-11-06,Work,Departed,,FALSE
Yuki,Park,Female,1999-01-31,Greece,France,Nice,Orly,Student,2019-10-19,Family Reunification,Departed,,FALSE
Wei,Gonzalez,Female,1989-12-12,Peru,Italy,Florence,Malpensa,Family,2010-04-10,Work,Temporary Resident,,FALSE
Ethan,Kim,Male,1956-04-16,Thailand,Canada,Quebec City,Ottawa Intl,Work,2019-10-06,Conflict/War,Citizen,2025-12-10,TRUE
Raj,Abdul,Female,1960-04-29,Sri Lanka,Germany,Dusseldorf,BER,Student,2010-09-29,Work,Temporary Resident,,FALSE
Anita,Kim,Female,1998-10-12,Italy,Italy,Turin,Fiumicino,Skilled Worker,2023-10-11,Family Reunification,Permanent Resident,,FALSE
Elena,Moretti,Male,2000-04-02,Nigeria,Sweden,Norrkoping,Arlanda,Work,2023-01-17,Family Reunification,Permanent Resident,,FALSE
Igor,Park,Female,1963-04-02,Greece,Germany,Stuttgart,DUS,Family,2007-05-21,Family Reunification,Citizen,2012-09-18,FALSE
Chen,Costa,Female,1999-05-27,Iraq,Netherlands,Nijmegen,Schiphol,Asylum,2019-02-11,Study,Permanent Resident,,TRUE
Diego,Park,Female,1999-03-07,Kenya,France,Lyon,Orly,Family,2023-02-12,Conflict/War,Permanent Resident,,TRUE
Leila,Chen,Female,1978-11-09,Romania,Sweden,Stockholm,Arlanda,Work,2018-03-29,Persecution,Temporary Resident,,TRUE
